,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
3443,"2,6-DIAMINO-3-",,,28365-08-4,"2,6-Pyridinediamine, 3-(3-pyridinylazo)",Hair dyeing,,
3444,((PYRIDIN-3-YL)AZO)PYRI-,,,,,,,
3445,DINE,,,,,,,
3446,"3,4-DIAMINOBENZOIC",,,"619-05-6
210-577-2","3,4-diaminobenzoic acid",Hair dyeing,,
3447,ACID,,,,,,,
3448,"4,4'-DIAMINODIPHENY-",,,"537-65-5
208-673-4","4,4'-iminodianiline (CI 76120)
III/1,8",Hair dyeing,,
3449,LAMINE,,,,,,,
3450,"2,4-DIAMINODIPHENYLA-",,,136-17-4,"1,2,4-benzenetriamine, N-phenyl-",Hair dyeing,,
3451,MINE,,,,,,,
3452,"2,4-DIAMINO-5-METHYL-",,,113715-25-6,"1,3-benzenediamine, 4-ethoxy-6-methyl-",Hair dyeing,,
3453,PHENETOL HCL,,,,,,,
3454,"2,4-DIAMINO-5-METHYL-",,,113715-27-8,"Ethanol, 2-(2,4-diamino-5-methylphenoxy)-, dihydrochlor-",Hair dyeing,,
3455,PHENOXYETHANOL HCL,,,,ide,,,
3456,"4,5-DIAMINO-1-METHYL-",,,20055-01-0,"1H-pyrazole, 4,5-diamino-1-methyl- dihydrochloride",Hair dyeing,,
3457,PYRAZOLE HCL,,,,,,,
3458,"2,4-DIAMINOPHENOL",,,"95-86-3
202-459-4","2,4-diaminophenol
III/1,10",Hair dyeing,,
3459,"2,4-DIAMINOPHENOL",,,"137-09-7
205-279-4","2,4-Diaminophenol dihydrochloride
III/1,10",Hair dyeing,,
3460,DIHYDROCHLORIDE,,,,,,,
3461,"2,4-DIAMINOPHENOL",,,"137-09-7
205-279-4","4-hydroxy-m-phenylenediammonium dichloride
III/1,10",Hair dyeing,,
3462,HCL,,,,,,,
3463,"2,4-DIAMINOPHENOX-",,,"66422-95-5
266-357-1","2-(2,4-diaminophenoxy)ethanol dihydrochloride",Hair dyeing,,
3464,YETHANOL HCL,,,,,,,
3465,"2,6-DIAMINOPYRIDINE",,,"141-86-6
205-507-2","Pyridine-2,6-diyldiamine",Hair dyeing,,
3466,"2,6-DIAMINOPYRIDINE",,,146997-97-9,"2,6-Pyridinediamine, sulfate (2:1)",Hair dyeing,,
3467,SULFATE,,,,,,,
3468,DIAMINOPYRIMIDINE,,,74638-76-9,,"2,4-Pyrimidinediamine, 3-oxide",Hair conditioning/skin condition-,
3469,OXIDE,,,,,,ing,
3470,DIAMMONIUM CITRATE,,,3012-65-5,221-146-3,"Diammonium hydrogen 2-hydroxypropane-1,2,3-tricarbox-",Buffering/chelating,
3471,,,,,,ylate,,
3472,DIAMMONIUM DIMETHI-,,,,,,Surfactant/cleansing/hair condi-,
3473,CONE COPOLYOL SULFO-,,,,,,tioning,
3474,SUCCINATE,,,,,,,
3475,DIAMMONIUM DITHIODI-,,,68223-93-8,269-323-4,"Diammonium 2,2'-dithiodiacetate",Hair waving or straightening,
3476,GLYCOLATE,,,,,,,
3477,DIAMMONIUM EDTA,,,20824-56-0,244-063-4,Diammonium dihydrogen ethylenediaminetetraacetate,Antioxidant/chelating,
3478,DIAMMONIUM LAURA-,,,,,"Butanedioic acid, sulfo-, 1-[2-[(1-oxododecyl)amino]ethyl]",Surfactant/cleansing,
3479,MIDO-MEA SULFOSUCCI-,,,,,"ester, diammonium salt",,
3480,NATE,,,,,,,
3481,DIAMMONIUM LAURYL,,,37451-77-7,253-510-2,Diammonium C-dodecyl sulphonatosuccinate,Surfactant/skin conditioning/foam-,
3482,SULFOSUCCINATE,,,,,,ing/cleansing,
3483,DIAMMONIUM OLEA-,,,,,,Surfactant/cleansing/foam boost-,
3484,MIDO PEG-2 SULFOSUC-,,,,,,ing/hydrotrope,
3485,CINATE,,,,,,,
3486,DIAMMONIUM PHOS-,ammonium phos-,,7783-28-0,231-987-8,Diammonium hydrogenorthophosphate,Buffering,
3487,PHATE,phate,,,,,,
3488,DIAMYL SODIUM SULFO-,,,922-80-5,213-085-6,"Sodium 1,2-bis(pentyloxycarbonyl)ethanesulphonate",Surfactant/hydrotrope/cleansing/,
3489,SUCCINATE,,,,,,foam boosting,
3490,DIAMYLHYDROQUINONE,,,79-74-3,201-222-2,"2,5-di-tert-pentylhydroquinone",Antioxidant,
3491,DIAZOLIDINYL UREA,,,78491-02-8,278-928-2,"1-[1,3-bis(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]-1,3-","VI/1,46
Preservative",
3492,,,,,,bis(hydroxymethyl)urea,,
3493,DIBEHENAMIDOPROPYL-,,,171039-49-9,,"9,12-Octadecadienoic acid (Z, Z)-, dimer, compounds with",Hair conditioning/skin condition-,
3494,DIMETHYLAMINE DILI-,,,,,N-[3-(dimethylamino)propyl]docosanamide (1:2),ing,
3495,NOLEATE,,,,,,,
3496,DIBEHENYL METHYLA-,,,61372-91-6,262-740-2,N-methyldidocosylamine,Antistatic/hair conditioning,
3497,MINE,,,,,,,
3498,DIBEHENYL/DIARACHI-,,,,,"Methanaminium, N-methyl-N,N-bis(mixed docosyl and",Antistatic/emulsifying/hair condi-,
3499,DYL DIMONIUM CHLOR-,,,,,"eicosyl)-, chloride",tioning,
3500,IDE,,,,,,,
3501,DIBEHENYLDIMONIUM,,,26597-36-4,,"1-docosanaminium, N-docosyl-N,N-dimethyl-, chloride",Antistatic/hair conditioning/emul-,
3502,CHLORIDE,,,,,,sifying,
3503,DIBEHENYLDIMONIUM,,,,,"1-docosanaminium, N-docosyl-N,N-dimethyl-, methyl sul-",Antistatic/hair conditioning/emul-,
3504,METHOSULFATE,,,,,fate (salt),sifying,
3505,DIBENZOTHIOPHENE,dibenzothiophene,,132-65-0,205-072-9,Dibenzothiophene,Antioxidant,
3506,DIBENZOXAZOYL,,,5089-22-5,225-803-5,"2,2'-(Naphthalene-1,4-diyl)bis(benzoxazole)",Uv absorber,
3507,NAPHTHALENE,,,,,,,
3508,DIBENZYLIDENE SORBI-,,,32647-67-9,251-136-4,Bis-O-(benzylidene)-D-glucitol,Viscosity controlling,
3509,TOL,,,,,,,
3510,DIBROMOHEXAMIDINE,,,93856-83-8,299-116-4,"VI/1,15
2-hydroxyethanesulphonic acid, compound with 4,4'-",Preservative,
3511,ISETHIONATE,,,,,"[hexane-1,6-diylbis(oxy)]bis[3-bromobenzenecarboxami-",,
3512,,,,,,"dine]
(2:1)",,
3513,DIBROMOPROPAMIDINE,,,614-87-9,210-399-5,"Ethanesulfonic acid, 2-hydroxy-, compound with 4,4'-[1,3-",Antimicrobial,
3514,DIISETHIONATE,,,,,propanediylbis(oxy)]bis[3-bromobenzenecarboximidamide],,
3515,DIBUTYL ADIPATE,,,105-99-7,203-350-4,Dibutyl adipate,Emollient/film forming/plasticiser,
3516,DIBUTYL LAUROYL GLU-,,,63663-21-8,264-391-1,"(S)-N,N'-dibutyl-2-[(1-oxododecyl)amino]glutaramide",Film forming,
3517,TAMIDE,,,,,,,
3518,DIBUTYL OXALATE,,,2050-60-4,218-092-8,"Dibutyl oxalate
III/1,3",Chelating/hair conditioning/plasti-,
3519,,,,,,,ciser,
3520,DIBUTYL SEBACATE,,,109-43-3,203-672-5,Dibutyl sebacate,Emollient/film forming/hair condi-,
3521,,,,,,,tioning/skin conditioning/plastici-,
3522,,,,,,,ser,
3523,DIBUTYLENE TETRAFUR-,,,126-15-8,204-773-7,"1,4,4a,5a,6,9,9a,9b-octahydrodibenzofuran-4a-carbalde-",viscosity controlling/antioxidant,
3524,FURAL,,,,,hyde,,
3525,DI-C12-18 ALKYL DIMO-,,,68391-05-9,269-924-1,"Quaternary ammonium compounds, di-C12-18-alkyldi-",Hair conditioning/skin condition-,
3526,NIUM CHLORIDE,,,,,"methyl, chlorides",ing,
3527,DI-C14-15 ALKYL TAR-,,,149144-86-5,,"Butanedioic acid, 2,3-dihydroxy-[R-(R*,R*)]-, di-C14-15-",Skin conditioning/emollient,
3528,TRATE,,,,,alkyl esters,,
3529,DI-C12-13 ALKYL MALATE,,,,,"Butandioic acid, hydroxy-, bis-(C12-C13-alkyl) esters",Emollient/skin conditioning,
3530,DI-C12-13 ALKYL TAR-,,,94095-06-4,302-210-0,"Butanedioic acid, 2,3-dihydroxy-
[R-(R*,R*)]-, C12-14-",Emollient/skin conditioning,
3531,TRATE,,,,,branched and linear alkyl esters,,
3532,DI-C12-15 ALKYL ADI-,,,,,"Hexanedioic acid, bis(C12-C15-alkyl) esters",Emollient,
3533,PATE,,,,,,,
3534,DI-C12-15 ALKYL FUMA-,,,,,"Butenedioic acid (e), bis(C12-C15-alkyl) esters",Solvent/emollient,
3535,RATE,,,,,,,
3536,DI-C12-15 PARETH-2,,,,,,Emulsifying,
3537,PHOSPHATE,,,,,,,
3538,DI-C12-15 PARETH-4,,,,,,Emulsifying,
3539,PHOSPHATE,,,,,,,
3540,DI-C12-15 PARETH-6,,,,,,Emulsifying,
3541,PHOSPHATE,,,,,,,
3542,DI-C12-15 PARETH-8,,,,,,Emulsifying,
3543,PHOSPHATE,,,,,,,
3544,DI-C12-15 PARETH-10,,,,,,Emulsifying,
3545,PHOSPHATE,,,,,,,
3546,DICALCIUM PHOSPHATE,"calcium phosphate,",,7757-93-9,231-826-1,Calcium hydrogenorthophosphate,Abrasive/opacifying/bulking,
3547,,dibasic,,,,,,
3548,DICALCIUM PHOSPHATE,"calcium phosphate,",,7789-77-7,231-826-1,Calcium hydrogenorthophosphate,Abrasive,
3549,DIHYDRATE,dibasic,,,,,,
3550,DICAPRYL ADIPATE,,,105-97-5,203-349-9,Didecyl adipate,Emollient/film forming/plasticiser,
3551,DICAPRYL SODIUM SUL-,,,23524-64-3,245-714-5,"Sodium 1,4-didecyl sulphonatosuccinate",Surfactant/emulsion stabilising/,
3552,FOSUCCINATE,,,,,,hydrotrope/cleansing,
3553,DICAPRYL/DICAPRYLYL,,,68424-95-3,270-331-5,"Quaternary ammonium compounds, di-C8-10-alkyldi-",Antistatic/emulsifying/hair condi-,
3554,DIMONIUM CHLORIDE,,,,,"methyl, chlorides",tioning,
3555,DICAPRYLOYL CYSTINE,,,41760-23-0,255-537-5,"L-cysteine, N, N'-bis(1-oxooctyl)-;",Antistatic/hair conditioning,
3556,DICAPRYLYL ETHER,,,629-82-3,211-112-6,Dioctyl ether,Solvent,
