,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
3409,,ate,,,,,,
3410,DENATONIUM SACCHAR-,,,,,"Benzenemethanaminium, N-[2-[(2,6-dimethylphenyl)",Denaturant,
3411,IDE,,,,,"amino]-2-oxoethyl]-N,N-diethyl-, salt with 1,2-benzisothia-",,
3412,,,,,,"zol-3(2H)-one 1,1-dioxide",,
3413,DEODORIZED KEROSENE,,,,"8008-20-6
232-366-4",Kerosine (petroleum). A complex combination of hydro-,Solvent,
3414,,,,,,"carbons produced by the distillation of crude oil.
It consists",,
3415,,,,,,of hydrocarbons having carbon numbers predominantly in,,
3416,,,,,,the range of C9 through C16 and boiling in the range of,,
3417,,,,,,approximately 150[0]C to 290[0]C (320[0]F to 554[0]F),,
3418,DEOXYRIBONUCLEASE,,,,"9003-98-9
232-667-0","Nuclease, deoxyribo-",Skin conditioning,
3419,DEPROTEINIZED SERUM,,,,"90989-73-4
292-730-3","Blood, ext., deproteinated",Skin conditioning,
3420,DEQUALINIUM ACETATE,,,,"4028-98-2
223-712-5","1,1'-(decane-1,10-diyl)bis[4-amino-2-methylquinolinium]",Antimicrobial/deodorant,
3421,,,,,,diacetate,,
3422,DEQUALINIUM CHLOR-,,dequalinium chlor-,,"522-51-0
208-330-9","Quinolinium, 1,1'-(1,10-decanediyl)bis[4-amino-2-methyl-,",Antimicrobial/oral care/antiplaque/,
3423,IDE,ide,,,,dichloride,deodorant,
3424,DESAMIDO COLLAGEN,,,,,,Film forming,
3425,DEXTRAN,dextran,,,"9004-54-0
232-677-5",Dextran,Binding/viscosity controlling,
3426,DEXTRAN HYDROXYPRO-,,,,83855-79-2,"Dextran, 2-hydroxy-3-(trimethylammonio)propyl ether,",Hair conditioning,
3427,PYLTRIMONIUM CHLOR-,,,,,chloride,,
3428,IDE,,,,,,,
3429,DEXTRAN SULFATE,,,,9042-14-2,"Sulfuric acid, dextran ester",Binding,
3430,DEXTRIN,dextrin,,,"9004-53-9
232-675-4",Dextrin,Absorbent/binding/viscosity con-,
3431,,,,,,,trolling,
3432,DEXTRIN BEHENATE,,,,112444-74-3,"Docosanoic acid, dextrin ester",Emulsifying,
3433,DEXTRIN LAURATE,,,,79748-56-4,"Dodecanoic acid, dextrin ester",Emulsifying,
3434,DEXTRIN MYRISTATE,,,,93792-77-9,"Tetradecanoic acid, dextrin ester",Emulsifying,
3435,DEXTRIN PALMITATE,,,,,,Emulsifying,
3436,DEXTRIN STEARATE,,,,37307-33-8,"Octadecanoic acid, dextrin ester",Emulsifying,
3437,DIACETIN,,,,"25395-31-7
246-941-2","Glycerol 1,3-di(acetate)",Solvent,
3438,DIACETONE ALCOHOL,,,,"123-42-2
204-626-7",4-hydroxy-4-methylpentan-2-one,Solvent,
3439,"4,5-DIAMINO-1-((4-",,,163183-00-4,"1H-Pyrazole-4,5-diamine,1-[(4-chlorophenyl)methyl]-, sul-",Hair dyeing,,
3440,CHLOROPHENYL),,,,fate (2:1),,,
3441,METHYL)-1H-PYRAZOLE-,,,,,,,
3442,SULFATE,,,,,,,
